ID,Title,Category,Priority,Impact,Affected Area,Description,Source,Jira Type
NC-001,"Tab Resets / Gray Out Tabs",Bug,Critical,High,Core Navigation,"Navigating through the site too quickly causes the entire tab to gray out, forcing the user to open a new tab, sign in again, navigate to the area, search by company, navigate tabs, search by product, then reach the target detail. During slow server periods this can repeat 6+ times in a row for a single toggle change. Turns a seconds-long task into many minutes. Major productivity drain (#1) — causes loss of context (which client, which product, what was being adjusted).",Field Observation + Proposal,Bug
NC-002,"Page Refresh / Back-Forward Arrows Break Site",Bug,Critical,High,Core Navigation,"Refreshing the page or using browser back/forward arrows causes the same gray-out tab crash. User must open a new tab and re-navigate the full deep path. Context is lost and the re-navigation itself risks additional gray-outs. Compounds the #1 productivity drain.",Field Observation,Bug
NC-003,"Resizing Panes Breaks / Removes Panes",Bug,Critical,High,Core UI,"Resizing panes in the UI causes them to break or disappear entirely. Requires opening a new tab and re-navigating the full deep path. Same context-loss and gray-out risk as other navigation issues. Productivity drain.",Field Observation,Bug
NC-004,"Summernote Editor Save Workflow (Data Loss Risk)",Bug / UX,High,High,Code Editor,"In the Summernote code editor, the user must exit code view before saving. If the user saves while in code view, work is lost with no warning. Counter-intuitive workflow that causes data loss and rework.",Field Observation + Proposal,Bug
NC-005,"Product Save Workflow — Close & Reopen Per Tab",Bug / UX,High,High,Product Details,"When updating product details, the user must close out and reopen the product for every tab they adjust. Cannot save changes across multiple tabs in a single session. Slows multi-field updates significantly and disrupts workflow.",Field Observation + Proposal,Improvement
NC-006,"'Save & Close' Button Stops Working (Product Creation)",Bug,High,High,Product Creation,"Rare but impactful bug during product creation where the 'Save & Close' button stops responding. User is forced to close the tab or hit Cancel. A product is created with only the System Code populated — all other fields are blank. Requires manual cleanup and re-entry of product information.",Field Observation,Bug
NC-007,"PDF Preview Missing in Composition View",Enhancement,High,Medium,Composition,"The PDF view in composition provides no preview and no indication of which file is currently loaded for download. Version comparison takes far longer than necessary — user can't tell if it's a new document or the same one without downloading. Should show a preview or at minimum a filename/version indicator and a download button.",Field Observation + Proposal,Improvement
NC-008,"FTP Definition Preview in Product Edit View",Enhancement,High,Medium,Product Details / FTP,"When editing a product under the FTP tab, there is no preview of the selected FTP definition's structure. Users must open a new tab or navigate away from product details to the FTP tab, find the definition, check it, then deep-path navigate back. A preview of the FTP definition should appear inline when selected in the product edit view.",Field Observation,Improvement
NC-009,"Code Editor Improvements (Multi-Cursor / Save / Ergonomics)",Enhancement,High,Medium,Code Editor,"The embedded code editor lacks standard editor features: no multi-cursor support (Ctrl/Cmd-D), unreliable save behavior (must click out to save), and missing common editor ergonomics. Should support multi-cursor, reliable in-place save, and optional lightweight formatter/linter to catch simple mistakes.",Proposal,Improvement
NC-010,"Two Separate Site Versions (SSO vs. Main)",Architecture,High,High,Platform / Infrastructure,"Two separate versions of the site exist — one under an SSO-specific URL and the main version. Dev team must update both, and bugs in one version may not exist in the other. Doubles maintenance effort, creates inconsistencies, and increases risk of divergent behavior.",Field Observation,Task
NC-011,"Unified Workspace for Data Drops & File Access",Enhancement,High,High,Workflow / File Management,"Accessing templates, data files, images, or dropping data requires navigating out of NcConnect into deep server file paths (client > product > date > production|dev > incoming|outgoing > desired files). Proposal: link programming drive and data-drop drive directly into NcConnect. Provide a one-stop 'Drop Data' component and one-click access to most recent files for a product. Eliminates two separate deep file path navigations per data drop operation.",Proposal + Field Observation,Epic
NC-012,"Server Capacity / Sample Creation Timing",Infrastructure,Medium,Medium,Server / Data Processing,"Sample creation runs on a scheduled interval (every 5 minutes) rather than on-demand. Users must wait for the next cycle even for quick iterations. May be a data server limitation. Improving capacity and allowing immediate or near-immediate sample creation would speed up the development-review loop.",Field Observation + Proposal,Improvement
NC-013,"Error Transparency & Observability",Enhancement,Medium,Medium,Platform / UI,"Improve observability and error transparency across the platform. Surface clear reasons for suppressed files, provide actionable error codes in the UI and logs. Currently, failures can be silent or opaque, requiring manual investigation.",Proposal,Improvement
NC-014,"Dropdown Menus Overlap / Don't Auto-Close",Bug,Low,Low,Core UI,"Dropdown menus overlap each other and do not close automatically when opening a new dropdown. Minor visual/interaction issue that occasionally requires extra clicks to dismiss.",Field Observation,Bug
NC-015,"'X' Button Misalignment on Company Filter",Bug,Low,Low,Composition Filter,"The 'X' (close) button does not line up with the mouse cursor on the company filter in the composition filter menu. Minor alignment/hitbox issue.",Field Observation,Bug
NC-016,"Keyboard Navigation Broken on Shift+Tab (Backwards)",Bug,Low,Low,Core UI / Accessibility,"Forward tabbing (Tab key) through form components works, but backwards navigation (Shift+Tab) gets stuck on dropdown fields. If the user overshoots a field and tries to go back, they cannot — forced to use the mouse. Only affects reverse tab order. Slows keyboard-driven workflow.",Field Observation,Bug
NC-017,"Frontend Framework Evaluation (Blazor → React)",Architecture,Medium,High,Platform / Frontend,"The current site uses a Blazor-like C# backend/frontend framework. Evaluate migrating to React or similar modern JS framework for improved developer velocity, community support, component ecosystem, and better UX implementation. Would enable easier implementation of all UX improvements listed here. Long-term strategic initiative — could be combined with SSO/main site unification.",Field Observation + Proposal,Epic
NC-018,"Symbol/Special Character Limitations (Wingdings Workaround)",Bug / UX,High,Medium,Code Editor / Summernote,"Programmers are limited to Wingdings for special characters/symbols — likely a constraint of Summernote, the current pipeline, or printer compatibility. When recreating a Word document as an HTML template, symbols that are clearly visible in the source Word doc cannot simply be copied and pasted into the editor. Instead, programmers must manually hunt down the correct Wingdings character code. This is wasted time — the symbol is right there in the document being recreated. A workaround or tool should allow direct copy-paste of symbols from the source document, or at minimum provide a visual symbol picker that maps common symbols to their Wingdings equivalents.",Field Observation,Improvement
